Sample	strain	publication	study	study_id	year	location	lat	lon
SRR23876563	H10	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1815	Lund, Sweden	55	13
SRR23876564	H4	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1815	Lund, Sweden	55	13
SRR23876566	H6	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1815	Smaland, Sweden	60	15
SRR23876582	H13	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1815	Lund, Sweden	55	13
SRR23876583	H12	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1815	Lund, Sweden	55	13
SRR23876584	H11	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1815	Lund, Sweden	55	13
SRR23876562	H9	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1850	Passau, Germany	49	13
SRR23876569	H25	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1850	Passau, Germany	49	13
SRR23876565	H5	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1875	Zealand, Denmark	55	12
ERR6474638	Oregon-R	https://doi.org/10.1093/gbe/evab239	PRJNA308584	Burny2021	1925			
SRR23876567	H7	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1933	Lund, Sweden	55	13
SRR23876568	H8	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1933	Lund, Sweden	55	13
SRR23876570	H24	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1933	Lund, Sweden	55	13
SRR23876571	H23	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1933	Lund, Sweden	55	13
SRR23876572	H22	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1933	Lund, Sweden	55	13
SRR23876573	H21	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1933	Lund, Sweden	55	13
SRR23876574	H3	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1933	Lund, Sweden	55	13
SRR23876575	H20	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1933	Lund, Sweden	55	13
SRR23876576	H19	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1933	Lund, Sweden	55	13
SRR23876577	H18	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1933	Lund, Sweden	55	13
SRR23876578	H17	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1933	Lund, Sweden	55	13
SRR23876579	H16	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1933	Lund, Sweden	55	13
SRR23876580	H15	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1933	Lund, Sweden	55	13
SRR23876581	H14	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1933	Lund, Sweden	55	13
SRR23876585	H2	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1933	Lund, Sweden	55	13
SRR23876586	H1	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1933	Lund, Sweden	55	13
SRR11846555	Crimea	https://doi.org/10.1093/molbev/msaa308	PRJNA634847	Schwarz2020	1936	Crimea, Ukraine	54	34
SRR11846565	Hikone-R	https://doi.org/10.1093/molbev/msaa308	PRJNA634847	Schwarz2020	1958	Japan	35	138
SRR457698	A2(BOG1)	https://doi.org/10.1016/j.tig.2014.07.009	PRJNA156883	Long2014	1962	Bogota, Colombia	5	-74
SRR457701	B4(RVC3)	https://doi.org/10.1016/j.tig.2014.07.009	PRJNA156883	Long2014	1963	California, USA	36	-119
SRR457707	A4(KSA2)	https://doi.org/10.1016/j.tig.2014.07.009	PRJNA156883	Long2014	1963	South Africa	-30	24
SRR457669	A5(VAG1)	https://doi.org/10.1016/j.tig.2014.07.009	PRJNA156883	Long2014	1965	Athens, Greece	38	24
SRR457697	A6(wild5B)	https://doi.org/10.1016/j.tig.2014.07.009	PRJNA156883	Long2014	1966	Georgia, USA	32	-83
SRR11846560	Harwich	https://doi.org/10.1093/molbev/msaa308	PRJNA634847	Schwarz2020	1967	Harwich, MA, USA	52	1
SRR13257684	RI75-1	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1975	Providence, USA	42	-71
SRR14293140	RI75-10	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1975	Providence, USA	42	-71
SRR14293191	RI75-2	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1975	Providence, USA	42	-71
SRR14293233	RI75-4	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1975	Providence, USA	42	-71
SRR14293574	RI75-5	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1975	Providence, USA	42	-71
SRR14293576	RI75-6	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1975	Providence, USA	42	-71
SRR14294393	RI75-7	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1975	Providence, USA	42	-71
SRR14294796	RI75-11	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1975	Providence, USA	42	-71
SRR14294899	RI75-12	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1975	Providence, USA	42	-71
SRR14294940	RI75-13	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1975	Providence, USA	42	-71
SRR11460801	Pi2	https://doi.org/10.1093/molbev/msaa308	PRJNA634847	Schwarz2020	1975			
SRR14294944	RI77-50	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1977	Providence, USA	42	-71
SRR14296430	RI7751	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1977	Providence, USA	42	-71
SRR14296646	RI77-52	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1977	Providence, USA	42	-71
SRR14296993	RI77-53	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1977	Providence, USA	42	-71
SRR14297433	RI77-61	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1977	Providence, USA	42	-71
SRR14297455	RI77-55	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1977	Providence, USA	42	-71
SRR14297771	RI77-58	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1977	Providence, USA	42	-71
SRR14297795	RI77-56	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1977	Providence, USA	42	-71
SRR14298064	RI77-54	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1977	Providence, USA	42	-71
SRR14298094	RI77-60	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1977	Providence, USA	42	-71
SRR14297434	RI78-12	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1978	Providence, USA	42	-71
SRR14297441	RI78-1A	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1978	Providence, USA	42	-71
